plan_id,max_dev_pob_pct,pp_promedio,cut_edges,n_comunas_partidas,split_severity,pop_afectada_pct,score,reock
13403,8.289,,262,,,,-1.0836213033826292,
13404,8.289,,272,,,,-1.112030394291712,
13405,8.289,,278,,,,-1.1290758488371615,
13406,8.289,,267,,,,-1.0978258488371706,
13407,8.289,,262,,,,-1.0836213033826292,
13408,8.289,,262,,,,-1.0836213033826292,
13409,9.214,,258,,,,-1.1647576670180713,
13410,9.214,,251,,,,-1.1448713033817133,
13411,9.868,,252,,,,-1.2131122124719675,
13412,9.868,,255,,,,-1.2216349397446924,
13413,9.868,,261,,,,-1.238680394290142,
13414,9.868,,261,,,,-1.238680394290142,
13415,9.868,,255,,,,-1.2216349397446924,
13416,9.868,,241,,,,-1.1818622124719764,
13417,9.868,,239,,,,-1.17618039429016,
13418,9.868,,250,,,,-1.207430394290151,
13419,6.463,,253,,,,-0.8754531215662809,
13420,9.448,,248,,,,-1.1597485761087545,
13421,8.529,,250,,,,-1.07353039429149,
13422,6.569,,254,,,,-0.888894030657083,
13423,6.569,,238,,,,-0.8434394852025504,
13424,8.224,,248,,,,-1.0373485761099783,
13425,8.224,,247,,,,-1.03450766701907,
13426,8.919,,238,,,,-1.0784394852002006,
13427,9.101,,236,,,,-1.090957667018202,
13428,9.606,,232,,,,-1.130094030654064,
13429,9.606,,224,,,,-1.1073667579267976,
13430,9.606,,222,,,,-1.101684939744981,
13431,9.606,,222,,,,-1.101684939744981,
13432,9.606,,216,,,,-1.0846394851995314,
13433,9.606,,250,,,,-1.181230394290413,
13434,9.606,,259,,,,-1.2067985761085875,
13435,9.708,,255,,,,-1.2056349397448525,
13436,9.708,,247,,,,-1.182907667017586,
13437,9.708,,250,,,,-1.1914303942903108,
13438,9.708,,246,,,,-1.1800667579266777,
13439,9.708,,256,,,,-1.2084758488357603,
13440,9.708,,266,,,,-1.2368849397448434,
13441,9.708,,289,,,,-1.302225848835734,
13442,9.606,,288,,,,-1.2891849397449278,
13443,9.707,,301,,,,-1.3362167579266344,
13444,9.591,,301,,,,-1.3246167579267505,
13445,9.347,,285,,,,-1.2547622124724618,
13446,9.347,,282,,,,-1.246239485199737,
13447,9.202,,275,,,,-1.211853121563524,
13448,9.202,,279,,,,-1.2232167579271571,
13449,9.202,,280,,,,-1.2260576670180654,
13450,9.202,,274,,,,-1.2090122124726157,
13451,9.202,,274,,,,-1.2090122124726157,
13452,9.202,,275,,,,-1.211853121563524,
13453,9.82,,283,,,,-1.2963803942901724,
13454,9.82,,276,,,,-1.2764940306538144,
13455,9.82,,280,,,,-1.2878576670174475,
13456,9.82,,286,,,,-1.3049031215628972,
13457,9.202,,269,,,,-1.1948076670180745,
13458,9.202,,270,,,,-1.1976485761089826,
13459,8.819,,269,,,,-1.1565076670184573,
13460,9.105,,277,,,,-1.2078349397454375,
13461,9.656,,277,,,,-1.2629349397448866,
13462,9.105,,287,,,,-1.2362440306545204,
13463,9.3,,295,,,,-1.2784713033815918,
13464,9.3,,289,,,,-1.261425848836142,
13465,9.3,,291,,,,-1.2671076670179586,
13466,9.3,0.1895,293,,,,-1.6024383794395032,0.3877605208251328
13467,7.948,,276,,,,-1.0892940306556864,
13468,7.948,,278,,,,-1.094975848837503,
13469,9.203,,278,,,,-1.2204758488362475,
13470,9.203,,275,,,,-1.2119531215635229,
13471,8.343,,264,,,,-1.094703121564392,
13472,8.343,,264,,,,-1.094703121564392,
13473,8.343,,256,,,,-1.0719758488371256,
13474,8.343,,247,,,,-1.046407667018951,
13475,8.946,,247,,,,-1.106707667018348,
13476,8.946,,262,,,,-1.1493213033819722,
13477,8.946,,280,,,,-1.2004576670183214,
13478,8.946,,285,,,,-1.2146622124728628,
13479,8.946,,283,,,,-1.2089803942910462,
13480,8.873,,271,,,,-1.1675894852002198,
13481,8.873,,257,,,,-1.1278167579275038,
13482,7.225,,251,,,,-0.945971303383702,
13483,8.26,,257,,,,-1.066516757928117,
13484,8.26,,260,,,,-1.0750394852008418,
13485,6.952,,279,,,,-0.9982167579294072,
13486,8.244,,277,,,,-1.1217349397462986,
13487,9.578,,266,,,,-1.2238849397449734,
13488,9.663,,262,,,,-1.2210213033812554,
13489,9.663,,257,,,,-1.206816757926714,
13490,9.663,,268,,,,-1.238066757926705,
13491,8.248,,273,,,,-1.1107713033826614,
13492,8.248,,289,,,,-1.156225848837194,
13493,6.237,,295,,,,-0.9721713033846546,
13494,6.237,,297,,,,-0.9778531215664712,
13495,6.237,,298,,,,-0.9806940306573796,
13496,6.237,,300,,,,-0.986375848839196,
13497,6.237,,298,,,,-0.9806940306573796,
13498,6.237,,302,,,,-0.9920576670210126,
