CUT,cod_candidato,nombre_candidato,partido,pacto,votos
9203,66022075,JORGE SAFFIRIO ESPINOZA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,285.0
9203,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,732.0
9203,66022077,VICTOR BADILLA URRA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,150.0
9203,66022078,ROBERTO QUINTANA BURGOS,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,349.0
9203,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,219.0
9203,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,180.0
9204,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,55.0
9204,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,27.0
9204,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,36.0
9204,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,30.0
9204,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",1923.0
9204,66022056,LAUTARO GUANCA VALLEJOS,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",22.0
9204,66022057,JUAN PABLO JARAMILLO GONZALEZ,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",34.0
9204,66022058,ANDREA PARRA SAUTEREL,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,242.0
9204,66022059,PATRICIO POZA BARRERA,PARTIDO POR LA DEMOCRACIA,UNIDAD POR CHILE,80.0
9204,66022060,LUIS PENCHULEO MORALES,FRENTE AMPLIO,UNIDAD POR CHILE,229.0
9204,66022061,MANUELA ROYO LETELIER,FRENTE AMPLIO,UNIDAD POR CHILE,205.0
9204,66022062,XIMENA SEPULVEDA VARAS,PARTIDO DEMOCRATA CRISTIANO,UNIDAD POR CHILE,27.0
9204,66022063,MARCELA ROA SUAZO,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,38.0
9204,66022064,JAVIERA FRANCISCA VICTORIA IBARRA LARENAS,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,52.0
9204,66022065,LLERY YANIRA CARRASCO ESPINOZA,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,25.0
9204,66022066,EDITH ELENA PALMA MENDEZ,MOVIMIENTO AMARILLOS POR CHILE,MOVIMIENTO AMARILLOS POR CHILE,19.0
9204,66022067,DANIELA NATALY GONZALEZ FARIÑA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,119.0
9204,66022068,GUIDO ANTONIO DIAZ VERGARA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,53.0
9204,66022069,ALEXIS OJEDA ALTAMIRANO,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,38.0
9204,66022070,PATRICIA DEL CARMEN MUÑOZ BELTRAN,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,34.0
9204,66022071,RAMIRO ADRIAN RODRIGUEZ MAUREIRA,PARTIDO DE LA GENTE,PARTIDO DE LA GENTE,20.0
9204,66022072,JUAN CARLOS BELTRAN SILVA,RENOVACION NACIONAL,CHILE GRANDE Y UNIDO,494.0
9204,66022073,EDUARDO CRETTON REBOLLEDO,UNION DEMOCRATA INDEPENDIENTE,CHILE GRANDE Y UNIDO,653.0
9204,66022074,VICTOR MANOLI NAZAL,EVOLUCION POLITICA,CHILE GRANDE Y UNIDO,53.0
9204,66022075,JORGE SAFFIRIO ESPINOZA,PARTIDO DEMOCRATAS CHILE,CHILE GRANDE Y UNIDO,248.0
9204,66022076,GLORIA NAVEILLAN ARRIAGADA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,376.0
9204,66022077,VICTOR BADILLA URRA,PARTIDO NACIONAL LIBERTARIO,CAMBIO POR CHILE,93.0
9204,66022078,ROBERTO QUINTANA BURGOS,PARTIDO SOCIAL CRISTIANO,CAMBIO POR CHILE,40.0
9204,66022079,FELIPE MARTINEZ REYES,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,92.0
9204,66022080,DEBORAH NEGRETE PLAZA,PARTIDO REPUBLICANO DE CHILE,CAMBIO POR CHILE,63.0
9205,66022051,VALENTINA SAEZ CASANOVA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,94.0
9205,66022052,RAUL HUILCAL BARRIA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,33.0
9205,66022053,WANGLEN MILA HUENUMILLA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,79.0
9205,66022054,EDUARDO CUELLAR FERREIRA,PARTIDO ECOLOGISTA VERDE,PARTIDO ECOLOGISTA VERDE,80.0
9205,66022055,EMILIA COÑUMIL QUIÑIMIL,FEDERACION REGIONALISTA VERDE SOCIAL,"VERDES, REGIONALISTAS Y HUMANISTAS",198.0
